"ID","Name","Type","rConc","Name","Type","Value","Quality","Call","Threshold","In Range","Out Range","Peak Ratio","Comments","treatment","Peak Call"
"S02-A39","mockhigh_102-2","Unknown",1,"PPIA","Test",8.79052689255905,1,"Pass",0.0222468576534276,84.8111646432384,999,1,"ok","mock_high","Pass"
"S02-A40","mockhigh_102-2","Unknown",1,"RELA","Test",13.6276062592368,1,"Pass",0.0222468576534276,86.1662654855457,999,1,"ok","mock_high","Pass"
"S02-A41","mockhigh_102-2","Unknown",1,"SMYD3","Test",14.8903008257378,1,"Pass",0.0222468576534276,82.1173820794134,999,1,"double","mock_high","Fail"
"S02-A42","mockhigh_102-2","Unknown",1,"UGCG","Test",20.8408138178578,1,"Pass",0.0222468576534276,83.0456392910518,999,1,"ok","mock_high","Pass"
"S02-A43","mockhigh_102-2","Unknown",1,"LRP6","Test",20.7091741211681,1,"Pass",0.0222468576534276,87.13133344469,999,1,"ok","mock_high","Pass"
"S02-A44","mockhigh_102-2","Unknown",1,"Tcf7l2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S02-A45","mockhigh_102-2","Unknown",1,"B2M","Test",10.355029458334,1,"Pass",0.0222468576534276,86.2150833283086,999,1,"ok","mock_high","Pass"
"S02-A46","mockhigh_102-2","Unknown",1,"MAP3K14","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S02-A47","mockhigh_102-2","Unknown",1,"SLCO3A1","Test",16.3352332211295,1,"Pass",0.0222468576534276,84.671063849252,999,1,"ok","mock_high","Pass"
"S02-A48","mockhigh_102-2","Unknown",1,"SP1","Test",14.9441305983612,1,"Pass",0.0222468576534276,87.367464523096,999,1,"ok","mock_high","Pass"
"S04-A01","mockhigh_104-4","Unknown",1,"ACTB","Test",14.2529775684852,0.909395377425891,"Pass",0.0222468576534276,91.0749631660727,999,1,"ok","mock_high","Pass"
"S04-A02","mockhigh_104-4","Unknown",1,"SP3","Test",12.8918589826119,1,"Pass",0.0222468576534276,82.0714879020107,999,1,"ok","mock_high","Pass"
"S04-A03","mockhigh_104-4","Unknown",1,"SLCO2B1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S04-A04","mockhigh_104-4","Unknown",1,"RSU1","Test",12.9315155762285,1,"Pass",0.0222468576534276,83.4039044866348,999,1,"ok","mock_high","Pass"
"S04-A05","mockhigh_104-4","Unknown",1,"IL8","Test",14.2367758032031,1,"Pass",0.0222468576534276,83.2009796430304,999,1,"ok","mock_high","Pass"
"S04-A06","mockhigh_104-4","Unknown",1,"FZD7","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S04-A07","mockhigh_104-4","Unknown",1,"ABCC4","Test",13.3094227636628,1,"Pass",0.0222468576534276,81.0780995357962,999,1,"ok","mock_high","Pass"
"S04-A08","mockhigh_104-4","Unknown",1,"YBX1","Test",6.65392819201113,1,"Pass",0.0222468576534276,82.6587871085955,999,1,"ok","mock_high","Pass"
"S04-A09","mockhigh_104-4","Unknown",1,"PRKCB","Test",15.395439558982,1,"Pass",0.0222468576534276,87.0554380299884,999,1,"ok","mock_high","Pass"
"S04-A10","mockhigh_104-4","Unknown",1,"DDIT4","Test",17.7043577486209,1,"Pass",0.0222468576534276,89.2496900097519,999,1,"ok","mock_high","Pass"
"S04-A11","mockhigh_104-4","Unknown",1,"ABCB1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S04-A12","mockhigh_104-4","Unknown",1,"LRP5","Test",15.6350418003172,1,"Pass",0.0222468576534276,84.5883347784583,999,1,"ok","mock_high","Pass"
"S04-A13","mockhigh_104-4","Unknown",1,"ABCC5","Test",16.5429423355065,1,"Pass",0.0222468576534276,84.7142611540314,999,1,"ok","mock_high","Pass"
"S04-A14","mockhigh_104-4","Unknown",1,"NFYA","Test",14.6657480753877,1,"Pass",0.0222468576534276,85.8511919710557,999,1,"ok","mock_high","Pass"
"S04-A15","mockhigh_104-4","Unknown",1,"CSK","Test",13.8162792703161,1,"Pass",0.0222468576534276,86.1459691034745,999,1,"ok","mock_high","Pass"
"S04-A16","mockhigh_104-4","Unknown",1,"SCML2","Test",15.5512137794168,1,"Pass",0.0222468576534276,82.1236616214262,999,1,"ok","mock_high","Pass"
"S04-A17","mockhigh_104-4","Unknown",1,"GAPDH","Test",7.77670994448379,1,"Pass",0.0222468576534276,87.8098159402695,999,1,"ok","mock_high","Pass"
"S04-A18","mockhigh_104-4","Unknown",1,"APCDD1","Test",24.9636748500288,1,"Pass",0.0222468576534276,91.2368362190263,999,1,"miss","mock_high","Fail"
"S04-A19","mockhigh_104-4","Unknown",1,"WNK1","Test",13.8471426968432,1,"Pass",0.0222468576534276,84.0112598804203,999,1,"ok","mock_high","Pass"
"S04-A20","mockhigh_104-4","Unknown",1,"IL18","Test",14.7832553711233,1,"Pass",0.0222468576534276,81.2433608907902,999,1,"ok","mock_high","Pass"
"S04-A21","mockhigh_104-4","Unknown",1,"GCLC","Test",14.2629931400496,1,"Pass",0.0222468576534276,83.7181379232826,999,1,"ok","mock_high","Pass"
"S04-A22","mockhigh_104-4","Unknown",1,"MAPK1","Test",12.0910929189995,1,"Pass",0.0222468576534276,85.6062543411561,999,1,"ok","mock_high","Pass"
"S04-A23","mockhigh_104-4","Unknown",1,"MYC","Test",9.61517789634297,1,"Pass",0.0222468576534276,80.1549584119999,999,1,"ok","mock_high","Pass"
"S04-A24","mockhigh_104-4","Unknown",1,"OCT4","Test",28.1206122539959,0,"Fail",0.0222468576534276,999,999,0,"miss","mock_high","Fail"
"S04-A25","mockhigh_104-4","Unknown",1,"OSCAR","Test",999,0,"Fail",0.0222468576534276,999,999,0,"miss","mock_high","Fail"
"S04-A26","mockhigh_104-4","Unknown",1,"MPO","Test",7.52190319310032,1,"Pass",0.0222468576534276,88.3404943715209,999,1,"ok","mock_high","Pass"
"S04-A27","mockhigh_104-4","Unknown",1,"EZH1","Test",13.9975166106355,1,"Pass",0.0222468576534276,82.8842107260298,999,1,"ok","mock_high","Pass"
"S04-A28","mockhigh_104-4","Unknown",1,"SLC7A7","Test",15.9412762655086,1,"Pass",0.0222468576534276,81.6531895050424,999,1,"ok","mock_high","Pass"
"S04-A29","mockhigh_104-4","Unknown",1,"BRD4","Test",12.2548379613261,1,"Pass",0.0222468576534276,85.2874111759073,999,1,"ok","mock_high","Pass"
"S04-A30","mockhigh_104-4","Unknown",1,"DVL2","Test",16.5037764265162,1,"Pass",0.0222468576534276,87.0386914147364,999,1,"ok","mock_high","Pass"
"S04-A31","mockhigh_104-4","Unknown",1,"MT2A","Test",13.4898870024238,1,"Pass",0.0222468576534276,89.7974099450021,999,1,"ok","mock_high","Pass"
"S04-A32","mockhigh_104-4","Unknown",1,"NOTCH1","Test",19.1736280234681,1,"Pass",0.0222468576534276,90.0817392997622,999,1,"ok","mock_high","Pass"
"S04-A33","mockhigh_104-4","Unknown",1,"PTK2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S04-A34","mockhigh_104-4","Unknown",1,"KRAS","Test",13.8958346496455,1,"Pass",0.0222468576534276,75.5797968080635,999,1,"ok","mock_high","Pass"
"S04-A35","mockhigh_104-4","Unknown",1,"KMT2A","Test",15.8103687071359,1,"Pass",0.0222468576534276,81.9790676903813,999,1,"ok","mock_high","Pass"
"S04-A36","mockhigh_104-4","Unknown",1,"DAAM1","Test",16.9332315613879,1,"Pass",0.0222468576534276,84.8044546395031,999,1,"ok","mock_high","Pass"
"S04-A37","mockhigh_104-4","Unknown",1,"CTNNB","Test",13.146794960344,1,"Pass",0.0222468576534276,83.840680354048,999,1,"ok","mock_high","Pass"
"S04-A38","mockhigh_104-4","Unknown",1,"PTGS2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S04-A39","mockhigh_104-4","Unknown",1,"PPIA","Test",8.63886941939433,1,"Pass",0.0222468576534276,84.6396774595414,999,1,"ok","mock_high","Pass"
"S04-A40","mockhigh_104-4","Unknown",1,"RELA","Test",14.125545792046,1,"Pass",0.0222468576534276,85.982585504021,999,1,"ok","mock_high","Pass"
"S04-A41","mockhigh_104-4","Unknown",1,"SMYD3","Test",12.607502781426,1,"Pass",0.0222468576534276,82.738897273959,999,1,"ok","mock_high","Pass"
"S04-A42","mockhigh_104-4","Unknown",1,"UGCG","Test",14.3979397790691,1,"Pass",0.0222468576534276,82.8267179656611,999,1,"ok","mock_high","Pass"
"S04-A43","mockhigh_104-4","Unknown",1,"LRP6","Test",19.8903947594081,1,"Pass",0.0222468576534276,87.024639918956,999,1,"ok","mock_high","Pass"
"S04-A44","mockhigh_104-4","Unknown",1,"Tcf7l2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S04-A45","mockhigh_104-4","Unknown",1,"B2M","Test",8.83281290773231,1,"Pass",0.0222468576534276,86.0694611717827,999,1,"ok","mock_high","Pass"
"S04-A46","mockhigh_104-4","Unknown",1,"MAP3K14","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S04-A47","mockhigh_104-4","Unknown",1,"SLCO3A1","Test",15.8068463704702,1,"Pass",0.0222468576534276,84.3410649629969,999,1,"ok","mock_high","Pass"
"S04-A48","mockhigh_104-4","Unknown",1,"SP1","Test",14.6953341681607,1,"Pass",0.0222468576534276,87.1714280335156,999,1,"ok","mock_high","Pass"
"S06-A01","mockhigh_106-6","Unknown",1,"ACTB","Test",17.9444685161052,0.978270420276374,"Pass",0.0222468576534276,90.9214793183073,999,1,"ok","mock_high","Pass"
"S06-A02","mockhigh_106-6","Unknown",1,"SP3","Test",15.3817044535064,1,"Pass",0.0222468576534276,81.9570849598726,999,1,"ok","mock_high","Pass"
"S06-A03","mockhigh_106-6","Unknown",1,"SLCO2B1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S06-A04","mockhigh_106-6","Unknown",1,"RSU1","Test",13.3023071428476,1,"Pass",0.0222468576534276,83.326893738626,999,1,"ok","mock_high","Pass"
"S06-A05","mockhigh_106-6","Unknown",1,"IL8","Test",14.3630146457857,1,"Pass",0.0222468576534276,83.0981152775863,999,1,"ok","mock_high","Pass"
"S06-A06","mockhigh_106-6","Unknown",1,"FZD7","Test",18.4375563777758,1,"Pass",0.0222468576534276,81.2342511774914,999,1,"ok","mock_high","Pass"
"S06-A07","mockhigh_106-6","Unknown",1,"ABCC4","Test",17.9768598540918,1,"Pass",0.0222468576534276,80.9832296818933,999,1,"ok","mock_high","Pass"
"S06-A08","mockhigh_106-6","Unknown",1,"YBX1","Test",9.06966654385409,1,"Pass",0.0222468576534276,82.3928446185401,999,1,"ok","mock_high","Pass"
