"ID","Name","Type","rConc","Name","Type","Value","Quality","Call","Threshold","In Range","Out Range","Peak Ratio","Comments","treatment","Peak Call"
"S01-A42","48hlow_101-1","Unknown",1,"UGCG","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A43","48hlow_101-1","Unknown",1,"LRP6","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A44","48hlow_101-1","Unknown",1,"Tcf7l2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A45","48hlow_101-1","Unknown",1,"B2M","Test",14.1167996413796,1,"Pass",0.0222468576534276,86.3248787962143,999,1,"ok","48h_low","Pass"
"S01-A46","48hlow_101-1","Unknown",1,"MAP3K14","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A47","48hlow_101-1","Unknown",1,"SLCO3A1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A48","48hlow_101-1","Unknown",1,"SP1","Test",17.4490450231383,1,"Pass",0.0222468576534276,87.5004517739575,999,1,"ok","48h_low","Pass"
"S03-A01","48hlow_103-3","Unknown",1,"ACTB","Test",19.6408402521322,0.9024833734588,"Pass",0.0222468576534276,91.2290528092312,999,1,"ok","48h_low","Pass"
"S03-A02","48hlow_103-3","Unknown",1,"SP3","Test",16.4591336847513,1,"Pass",0.0222468576534276,82.2060361546905,999,1,"ok","48h_low","Pass"
"S03-A03","48hlow_103-3","Unknown",1,"SLCO2B1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A04","48hlow_103-3","Unknown",1,"RSU1","Test",17.0901800071291,1,"Pass",0.0222468576534276,83.6371449824517,999,1,"ok","48h_low","Pass"
"S03-A05","48hlow_103-3","Unknown",1,"IL8","Test",17.1541015006534,1,"Pass",0.0222468576534276,83.2890769021478,999,1,"ok","48h_low","Pass"
"S03-A06","48hlow_103-3","Unknown",1,"FZD7","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A07","48hlow_103-3","Unknown",1,"ABCC4","Test",14.9753320904692,1,"Pass",0.0222468576534276,81.1948704138257,999,1,"ok","48h_low","Pass"
"S03-A08","48hlow_103-3","Unknown",1,"YBX1","Test",9.75329849645197,1,"Pass",0.0222468576534276,82.7416222872728,999,1,"ok","48h_low","Pass"
"S03-A09","48hlow_103-3","Unknown",1,"PRKCB","Test",18.0432730991111,1,"Pass",0.0222468576534276,87.1638269581112,999,1,"ok","48h_low","Pass"
"S03-A10","48hlow_103-3","Unknown",1,"DDIT4","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A11","48hlow_103-3","Unknown",1,"ABCB1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A12","48hlow_103-3","Unknown",1,"LRP5","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A13","48hlow_103-3","Unknown",1,"ABCC5","Test",18.4371069614525,1,"Pass",0.0222468576534276,84.828426558519,999,1,"ok","48h_low","Pass"
"S03-A14","48hlow_103-3","Unknown",1,"NFYA","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A15","48hlow_103-3","Unknown",1,"CSK","Test",16.0831624729742,1,"Pass",0.0222468576534276,86.2311657329467,999,1,"ok","48h_low","Pass"
"S03-A16","48hlow_103-3","Unknown",1,"SCML2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A17","48hlow_103-3","Unknown",1,"GAPDH","Test",10.5121759124594,1,"Pass",0.0222468576534276,87.8854515030132,999,1,"ok","48h_low","Pass"
"S03-A18","48hlow_103-3","Unknown",1,"APCDD1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A19","48hlow_103-3","Unknown",1,"WNK1","Test",15.2410153448166,1,"Pass",0.0222468576534276,84.148536699363,999,1,"ok","48h_low","Pass"
"S03-A20","48hlow_103-3","Unknown",1,"IL18","Test",17.5651815155484,1,"Pass",0.0222468576534276,81.3155519195884,999,1,"ok","48h_low","Pass"
"S03-A21","48hlow_103-3","Unknown",1,"GCLC","Test",20.0248182051957,1,"Pass",0.0222468576534276,83.8126746526153,999,1,"ok","48h_low","Pass"
"S03-A22","48hlow_103-3","Unknown",1,"MAPK1","Test",14.2170610783501,1,"Pass",0.0222468576534276,85.6852488544468,999,1,"ok","48h_low","Pass"
"S03-A23","48hlow_103-3","Unknown",1,"MYC","Test",11.0086177305988,1,"Pass",0.0222468576534276,80.2336851528457,999,1,"ok","48h_low","Pass"
"S03-A24","48hlow_103-3","Unknown",1,"OCT4","Test",19.3100042891294,0,"Fail",0.0222468576534276,999,999,0,"miss","48h_low","Fail"
"S03-A25","48hlow_103-3","Unknown",1,"OSCAR","Test",999,0,"Fail",0.0222468576534276,999,999,0,"miss","48h_low","Fail"
"S03-A26","48hlow_103-3","Unknown",1,"MPO","Test",10.7189964381421,1,"Pass",0.0222468576534276,88.3831655742485,999,1,"ok","48h_low","Pass"
"S03-A27","48hlow_103-3","Unknown",1,"EZH1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A28","48hlow_103-3","Unknown",1,"SLC7A7","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A29","48hlow_103-3","Unknown",1,"BRD4","Test",14.1312400106594,1,"Pass",0.0222468576534276,85.3550292734423,999,1,"ok","48h_low","Pass"
"S03-A30","48hlow_103-3","Unknown",1,"DVL2","Test",17.5379431315651,1,"Pass",0.0222468576534276,87.0628804060408,999,1,"ok","48h_low","Pass"
"S03-A31","48hlow_103-3","Unknown",1,"MT2A","Test",18.2011425983373,1,"Pass",0.0222468576534276,89.8378421805042,999,1,"ok","48h_low","Pass"
"S03-A32","48hlow_103-3","Unknown",1,"NOTCH1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A33","48hlow_103-3","Unknown",1,"PTK2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A34","48hlow_103-3","Unknown",1,"KRAS","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A35","48hlow_103-3","Unknown",1,"KMT2A","Test",19.456340732323,1,"Pass",0.0222468576534276,81.9246657177084,999,1,"ok","48h_low","Pass"
"S03-A36","48hlow_103-3","Unknown",1,"DAAM1","Test",25.230447033552,0.454077497182575,"Fail",0.0222468576534276,69.1320140088664,999,1,"miss","48h_low","Fail"
